,Topic,Word,P
0,0,data,0.028242141008377075
1,0,memori,0.01807435229420662
2,0,bit,0.017161069437861443
3,0,address,0.01446947269141674
4,0,regist,0.01410383265465498
5,1,process,0.012471752241253853
6,1,data,0.012409569695591927
7,1,system,0.012401746585965157
8,1,fig,0.011976374313235283
9,1,object,0.010950380004942417
10,2,exampl,0.014751077629625797
11,2,acid,0.013731707818806171
12,2,compound,0.012503661215305328
13,2,group,0.011281992308795452
14,2,use,0.010221527889370918
15,3,materi,0.017750071361660957
16,3,use,0.011417423374950886
17,3,invent,0.009713898412883282
18,3,may,0.008281277492642403
19,3,surfac,0.008100436069071293
20,4,layer,0.026781519874930382
21,4,form,0.01371015328913927
22,4,fig,0.012782048434019089
23,4,electrod,0.011528950184583664
24,4,film,0.011238857172429562
25,5,signal,0.035795941948890686
26,5,fig,0.015033588744699955
27,5,circuit,0.01382504217326641
28,5,output,0.01262799184769392
29,5,control,0.011982249096035957
30,6,system,0.016421625390648842
31,6,messag,0.015170331113040447
32,6,commun,0.012858898378908634
33,6,call,0.012311749160289764
34,6,control,0.012173245660960674
35,7,cell,0.012583138421177864
36,7,use,0.012111961841583252
37,7,sequenc,0.011789587326347828
38,7,dna,0.007368787657469511
39,7,acid,0.006923446897417307
40,8,imag,0.03487342596054077
41,8,fig,0.017250441014766693
42,8,record,0.0162955354899168
43,8,color,0.013683491386473179
44,8,ink,0.013504118658602238
45,9,fig,0.022277632728219032
46,9,end,0.014850703999400139
47,9,portion,0.011485399678349495
48,9,member,0.009962930344045162
49,9,cathet,0.00913205835968256
